ID,COMMUNITY.AREA.NAME,BUILDING_SUBTYPE,TOTAL.KWH,THERMS.TOTAL.SQFT,KWH.MEAN.2010,THERM.MEAN.2010,THERMS.SQFT.MEAN.2010,Age_Group
11158,North Lawndale,Single Family,5721,2293,2860.5,1341,1146.5,Ancient
11167,North Lawndale,Single Family,126069,16585,8404.6,1804.08,1275.77,Ancient
11169,North Lawndale,Single Family,18527,3756,6175.67,1635.67,1252,Middle2
11179,North Lawndale,Single Family,23106,4248,7702,1844.5,1062,Ancient
11181,North Lawndale,Single Family,17750,2539,8875,1749,1269.5,Newer
11183,North Lawndale,Multi < 7,22224,5994,7408,912.2,1198.8,Ancient
11187,North Lawndale,Single Family,68233,6662,9747.57,1841,1110.33,Ancient
11191,North Lawndale,Single Family,113758,9276,11375.8,1454.25,1159.5,Ancient
11194,North Lawndale,Single Family,42626,4394,10656.5,1921.75,1098.5,Ancient
11212,North Park,Single Family,120741,21591,7102.41,1270.35,1270.06,Middle2
11222,North Park,Single Family,65457,7057,10909.5,1217,1176.17,Middle2
11225,North Park,Single Family,26056,3533,8685.33,1176.33,1177.67,Middle3
11229,North Park,Single Family,15739,5146,5246.33,1084.75,1286.5,Middle3
11230,North Park,Single Family,111634,16040,9302.83,1606.23,1233.85,Middle3
11243,North Park,Single Family,174199,24547,9168.37,1349.63,1291.95,Middle2
11244,North Park,Single Family,24198,5162,8066,1340,1290.5,Middle1
11250,North Park,Single Family,73781,9732,9222.63,1437,1216.5,Middle3
11264,North Park,Single Family,35236,5382,8809,1325,1076.4,Middle3
11267,North Park,Commercial,10671,2332,5335.5,1128.5,1166,Middle3
11270,North Park,Single Family,130367,19334,9311.93,1457.87,1288.93,Middle3
11284,Norwood Park,Single Family,189134,24653,9954.42,1562.68,1297.53,Middle2
11288,Norwood Park,Single Family,54736,9522,7819.43,1153.88,1190.25,Middle2
11291,Norwood Park,Single Family,57407,7359,9567.83,1249.29,1051.29,Middle3
11292,Norwood Park,Single Family,129296,16560,9945.85,1244.15,1273.85,Middle3
11295,Norwood Park,Single Family,91007,14456,7583.92,1353.5,1204.67,Middle3
11296,Norwood Park,Single Family,46670,5944,11667.5,1358.8,1188.8,Middle3
11297,Norwood Park,Single Family,83182,7437,13863.67,1424.67,1239.5,Middle2
11299,Norwood Park,Single Family,125531,22018,7845.69,1330.56,1376.13,Middle2
11300,Norwood Park,Single Family,67630,7012,11271.67,1294,1168.67,Middle2
11312,Norwood Park,Single Family,80958,5200,20239.5,1404.5,1300,Middle2
